,Unnamed: 0,LoanNumber,DateApproved,SBAOfficeCode,ProcessingMethod,BorrowerName,BorrowerAddress,BorrowerCity,BorrowerState,BorrowerZip,LoanStatusDate,LoanStatus,Term,SBAGuarantyPercentage,InitialApprovalAmount,CurrentApprovalAmount,UndisbursedAmount,FranchiseName,ServicingLenderLocationID,ServicingLenderName,ServicingLenderAddress,ServicingLenderCity,ServicingLenderState,ServicingLenderZip,RuralUrbanIndicator,HubzoneIndicator,LMIIndicator,BusinessAgeDescription,ProjectCity,ProjectCountyName,ProjectState,ProjectZip,CD,JobsReported,NAICSCode,Race,Ethnicity,UTILITIES_PROCEED,PAYROLL_PROCEED,MORTGAGE_INTEREST_PROCEED,RENT_PROCEED,REFINANCE_EIDL_PROCEED,HEALTH_CARE_PROCEED,DEBT_INTEREST_PROCEED,BusinessType,OriginatingLenderLocationID,OriginatingLender,OriginatingLenderCity,OriginatingLenderState,Gender,Veteran,NonProfit,ForgivenessAmount,ForgivenessDate
54,54,5829997101,04/14/2020,1084,PPP,"CENTRAL ENVIRONMENTAL, INC.",311 N Sitka Street,ANCHORAGE,AK,99501-1841,08/07/2021,Paid in Full,24,100,2779746.82,2779746.82,0.0,,3386,First National Bank Alaska,101 W 36th Ave,ANCHORAGE,AK,99503-5904,U,Y,Y,Existing or more than 2 years old,ANCHORAGE,ANCHORAGE,AK,99501-1841,AK-,122.0,562910.0,White,Unknown/NotStated,9056.0,2620157.82,,89759.0,,60774.0,,Subchapter S Corporation,3386,First National Bank Alaska,ANCHORAGE,AK,Male Owned,Non-Veteran,,2812951.47,07/02/2021
55,55,5002957200,04/27/2020,1084,PPP,CENTRAL COUNCIL TLINGIT & HAIDA INDIAN TRIBES OF ALASKA,9097 Glacier Hwy,Juneau,AK,99801,01/08/2022,Paid in Full,24,100,2769035.0,2769035.0,0.0,,116975,Northrim Bank,3111 'C' St,ANCHORAGE,AK,99503,U,Y,N,Existing or more than 2 years old,Juneau,JUNEAU,AK,99801-0001,AK-,318.0,813410.0,Unanswered,Unknown/NotStated,,2769035.0,,,,,,Professional Association,116975,Northrim Bank,ANCHORAGE,AK,Unanswered,Unanswered,,2502035.48,12/15/2021
56,56,6570687706,05/01/2020,1084,PPP,"AHTNA CONSTRUCTION &AMP; PRIMARY PRODUCTS COMPANY, LLC",110 W 38th Ave Ste 100,Anchorage,AK,99503,12/16/2021,Paid in Full,24,100,2755587.0,2755587.0,0.0,,9551,"Bank of America, National Association","100 N Tryon St, Ste 170",CHARLOTTE,NC,28202-4024,U,Y,Y,New Business or 2 years or less,Anchorage,ANCHORAGE,AK,99503-0100,AK-,135.0,237310.0,Unanswered,Unknown/NotStated,,2755587.0,,,,,,,9551,"Bank of America, National Association",CHARLOTTE,NC,Unanswered,Unanswered,,501974.25,11/19/2021
57,57,4758937701,05/01/2020,1084,PPP,LIFEMED ALASKA LLC,3838 W 50TH AVE,ANCHORAGE,AK,99502,07/13/2021,Paid in Full,24,100,2751369.0,2751369.0,0.0,,12096,"Wells Fargo Bank, National Association",101 N Philips Ave,SIOUX FALLS,SD,57104-6738,U,N,N,Existing or more than 2 years old,ANCHORAGE,ANCHORAGE,AK,99502-0800,AK-,133.0,561320.0,Unanswered,Unknown/NotStated,,2751369.0,,,,,,Limited  Liability Company(LLC),12096,"Wells Fargo Bank, National Association",SIOUX FALLS,SD,Unanswered,Unanswered,,2781520.99,06/11/2021
58,58,4878527102,04/13/2020,1084,PPP,"BERING AIR, INC.",PO Box 1650,NOME,AK,99762,09/28/2021,Paid in Full,24,100,2574300.0,2574300.0,0.0,,56102,KeyBank National Association,127 Public Sq,CLEVELAND,OH,44114-1217,R,N,N,Unanswered,NOME,NOME,AK,99762-0001,AK-,184.0,481211.0,White,Not Hispanic or Latino,,2574300.0,,,,,,Subchapter S Corporation,56102,KeyBank National Association,CLEVELAND,OH,Female Owned,Non-Veteran,,2608294.87,08/17/2021
59,59,5502657004,04/05/2020,1084,PPP,PND ENGINEERS INC,1506 W 36th Ave,ANCHORAGE,AK,99503-3595,07/21/2021,Paid in Full,24,100,2045300.0,2489263.0,0.0,,116975,Northrim Bank,3111 'C' St,ANCHORAGE,AK,99503,U,Y,Y,Existing or more than 2 years old,ANCHORAGE,ANCHORAGE,AK,99503-3595,AK-,112.0,541330.0,Unanswered,Unknown/NotStated,,2489263.0,,,,,,Corporation,116975,Northrim Bank,ANCHORAGE,AK,Unanswered,Unanswered,,2517360.98,06/11/2021
60,60,5819017009,04/06/2020,1084,PPP,"GRANT AVIATION, INC.",6402 Kulis Dr,ANCHORAGE,AK,99502-1816,06/19/2021,Paid in Full,24,100,2487000.0,2487000.0,0.0,,116975,Northrim Bank,3111 'C' St,ANCHORAGE,AK,99503,U,N,N,Existing or more than 2 years old,ANCHORAGE,ANCHORAGE,AK,99502-1816,AK-,189.0,481111.0,Unanswered,Unknown/NotStated,,2487000.0,,,,,,Corporation,116975,Northrim Bank,ANCHORAGE,AK,Unanswered,Unanswered,,2513777.84,05/24/2021
61,61,3843497101,04/12/2020,1084,PPP,DAVIS CONSTRUCTORS & ENGINEERS,13701 Vern Drive,ANCHORAGE,AK,99516-2654,07/20/2021,Paid in Full,24,100,2464869.0,2464869.0,0.0,,56102,KeyBank National Association,127 Public Sq,CLEVELAND,OH,44114-1217,U,N,N,Unanswered,ANCHORAGE,ANCHORAGE,AK,99516-2654,AK-,78.0,236210.0,Unanswered,Unknown/NotStated,,2464869.0,,,,,,Sole Proprietorship,56102,KeyBank National Association,CLEVELAND,OH,Male Owned,Unanswered,,2492759.16,06/11/2021
62,62,8824207005,04/08/2020,1084,PPP,"JL PROPERTIES, INC",813 D Street Ste 20,ANCHORAGE,AK,99520-3510,07/08/2021,Paid in Full,24,100,2335261.81,2335261.81,0.0,,3386,First National Bank Alaska,101 W 36th Ave,ANCHORAGE,AK,99503-5904,U,N,N,Existing or more than 2 years old,ANCHORAGE,ANCHORAGE,AK,99520-0001,AK-,149.0,531110.0,White,Not Hispanic or Latino,,2134489.41,,,,,200772.4,Subchapter S Corporation,3386,First National Bank Alaska,ANCHORAGE,AK,Male Owned,Non-Veteran,,2362069.34,06/11/2021
63,63,4509567707,05/01/2020,1084,PPP,ANCHORAGE NEIGHBORHOOD HEALTH CENTER INC,4951 BUSINESS PARK BLVD,ANCHORAGE,AK,99503,08/12/2021,Paid in Full,24,100,2269089.0,2269089.0,0.0,,12096,"Wells Fargo Bank, National Association",101 N Philips Ave,SIOUX FALLS,SD,57104-6738,U,Y,Y,Existing or more than 2 years old,ANCHORAGE,ANCHORAGE,AK,99503-0100,AK-,152.0,621111.0,Unanswered,Unknown/NotStated,,2269089.0,,,,,,Non-Profit Organization,12096,"Wells Fargo Bank, National Association",SIOUX FALLS,SD,Unanswered,Unanswered,Y,2296628.9,07/26/2021
